PublicID,V3C_PublicID,V3C_Complete,V3C_Status,V3CVer,V3CDATE_INT,V3CA01,V3CA02,V3CA03,V3CA04,V3CA05,V3CA06,V3CA07,V3CA08,V3CA09,V3CA10
00384B,00384B,Complete,Passed,2,-76,2,1,2,2,2,2,2,2,2,4
00388Q,00388Q,Complete,Passed,2,-102,1,1,3,2,3,3,3,4,4,4
00390G,00390G,Complete,Passed,2,-92,2,3,1,3,2,1,1,1,1,4
00391E,00391E,Complete,Passed,2,-84,1,1,4,3,3,3,4,4,3,4
00394V,00394V,Complete,Passed,2,-77,1,1,4,1,4,4,4,3,3,4
00396R,00396R,Complete,Passed,2,-87,1,1,2,2,3,3,3,3,3,4
00397P,00397P,Complete,Passed,2,-51,1,1,4,1,4,4,4,4,4,4
00398N,00398N,Complete,Passed,2,-77,1,1,2,3,4,3,4,4,3,4
00399L,00399L,Complete,Passed,2,-74,1,1,4,1,4,3,2,3,3,4
00401E,00401E,Complete,Passed,2,-88,1,1,4,1,4,4,4,4,4,4
00404V,00404V,Complete,Passed,2,-84,1,1,3,2,3,3,4,3,3,4
00406R,00406R,Complete,Passed,2,-89,1,1,3,3,4,4,4,4,4,4
00410D,00410D,Complete,Passed,2,-114,1,1,3,3,2,3,3,3,3,4
00411B,00411B,Complete,Passed,2,-85,1,1,3,1,4,4,4,4,4,4
00413U,00413U,Complete,Passed,2,-89,1,1,3,3,4,4,4,4,4,4
00414S,00414S,Complete,Passed,2,-89,1,1,3,2,3,4,4,4,4,4
00416O,00416O,Complete,Passed,2,-74,1,1,2,3,2,2,4,3,3,4
00418K,00418K,Complete,Passed,2,-97,1,1,4,1,4,4,4,4,4,4
00420A,00420A,Complete,Passed,2,-81,1,1,3,1,3,4,4,4,4,4
00425N,00425N,Complete,Passed,2,-78,1,1,4,4,4,4,4,4,4,4
00428H,00428H,Complete,Passed,2,-95,1,1,4,2,4,3,4,4,4,4
00432Q,00432Q,Complete,Passed,2,-74,1,1,4,1,3,4,3,3,4,4
00434M,00434M,Complete,Passed,2,-96,1,1,4,1,4,3,4,4,4,4
00438E,00438E,Complete,Passed,2,-64,2,1,2,2,4,3,2,1,1,4
00445H,00445H,Complete,Passed,2,-88,1,1,2,1,1,4,4,4,4,4
00446F,00446F,Complete,Passed,2,-80,1,1,4,2,4,3,4,3,3,4
00453I,00453I,Complete,Passed,2,-80,1,1,2,1,4,4,4,4,4,4
00455E,00455E,Complete,Passed,2,-92,1,1,2,3,4,2,4,4,3,4
00457A,00457A,Complete,Passed,2,-109,1,1,4,1,4,4,4,4,4,4
00460L,00460L,Complete,Passed,2,-102,2,2,2,3,2,2,3,1,1,2
00465B,00465B,Complete,Passed,2,-74,1,1,3,2,3,3,3,3,4,4
00467U,00467U,Complete,Passed,2,-81,1,1,4,2,4,3,4,4,4,4
00468S,00468S,Complete,Passed,2,-80,1,1,4,1,4,4,4,4,4,4
00470I,00470I,Complete,Passed,2,-74,1,1,3,2,4,3,4,4,4,4
00471G,00471G,Complete,Passed,2,-89,1,1,2,2,4,4,4,4,4,4
00472E,00472E,Complete,Passed,2,-83,1,1,3,3,2,2,4,3,4,4
00473C,00473C,Complete,Passed,2,-95,1,1,2,3,2,2,4,3,3,4
00474A,00474A,Complete,Passed,2,-77,1,2,2,4,2,1,2,2,3,4
00476T,00476T,Complete,Passed,2,-117,1,1,3,3,2,4,4,4,4,4
00479N,00479N,Complete,Passed,2,-91,1,1,3,1,4,4,4,4,4,4
00480F,00480F,Complete,Passed,2,-91,2,2,1,4,3,1,2,1,1,2
00482B,00482B,Complete,Passed,2,-67,1,1,2,3,3,3,4,4,4,4
00486Q,00486Q,Complete,Passed,2,-87,1,1,4,2,3,3,4,4,4,4
00487O,00487O,Complete,Passed,2,-87,1,1,3,3,3,4,4,4,3,4
00488M,00488M,Complete,Passed,2,-84,2,1,3,3,4,3,4,4,4,4
00489K,00489K,Complete,Passed,2,-82,1,1,3,3,3,3,3,3,4,4
00491A,00491A,Complete,Passed,2,-86,1,1,3,1,4,3,4,4,4,4
00493T,00493T,Complete,Passed,2,-88,1,1,3,1,4,4,4,4,4,4
00494R,00494R,Complete,Passed,2,-79,1,1,4,2,3,4,4,4,4,4
00495P,00495P,Complete,Passed,2,-86,1,1,2,3,2,3,3,3,3,4
00500C,00500C,Complete,Passed,2,-115,1,1,3,3,3,3,3,3,4,4
00503T,00503T,Complete,Passed,2,-94,1,1,3,2,4,4,4,4,4,4
00506N,00506N,Complete,Passed,2,-108,1,1,4,2,3,4,4,4,4,4
00508J,00508J,Complete,Passed,2,-76,3,2,2,4,1,2,2,2,2,4
00512S,00512S,Complete,Passed,2,-85,1,1,3,3,4,4,4,4,4,4
00516K,00516K,Complete,Passed,2,-71,1,1,3,2,3,3,4,4,4,4
00519E,00519E,Complete,Passed,2,-78,2,1,2,1,4,2,2,2,3,4
00522P,00522P,Complete,Passed,2,-98,1,1,3,3,2,3,4,4,4,4
00523N,00523N,Complete,Passed,2,-97,1,1,3,1,4,4,4,4,4,4
00524L,00524L,Complete,Passed,2,-84,1,1,4,3,3,4,3,3,4,4
00528D,00528D,Complete,Passed,2,-121,1,1,2,3,3,2,3,3,3,4
00529B,00529B,Complete,Passed,2,-96,1,1,3,3,3,3,3,4,3,4
00533K,00533K,Complete,Passed,2,-82,1,1,4,1,4,4,4,4,4,4
00535G,00535G,Complete,Passed,2,-73,1,1,2,3,2,3,3,3,4,4
00536E,00536E,Complete,Passed,2,-73,1,1,2,3,2,2,2,2,2,4
00537C,00537C,Complete,Passed,2,-100,1,1,3,2,3,3,4,3,3,4
00543H,00543H,Complete,Passed,2,-70,2,2,2,3,3,2,3,2,2,4
00544F,00544F,Complete,Passed,2,260,1,1,3,2,3,4,4,4,4,4
00545D,00545D,Complete,Passed,2,-72,1,1,4,2,4,2,4,4,4,4
00546B,00546B,Complete,Passed,2,-83,1,1,3,2,3,4,4,3,4,4
00547W,00547W,Complete,Passed,2,-110,1,1,2,3,2,3,4,4,3,4
00548U,00548U,Complete,Passed,2,-76,1,1,4,2,4,4,4,4,4,4
00550K,00550K,Complete,Passed,2,-124,1,1,3,3,2,3,2,4,4,4
00551I,00551I,Complete,Passed,2,-106,1,1,4,1,4,4,4,3,3,4
00553E,00553E,Complete,Passed,2,-87,1,1,3,2,3,4,4,4,4,4
00554C,00554C,Complete,Passed,2,-93,1,1,3,2,4,3,4,4,4,4
00555A,00555A,Complete,Passed,2,-101,1,1,4,3,4,4,4,4,4,4
00557T,00557T,Complete,Passed,2,-77,1,1,4,3,4,2,4,4,3,4
00560H,00560H,Complete,Passed,2,-79,1,1,1,3,3,3,4,3,4,4
00562D,00562D,Complete,Passed,2,-78,1,1,4,1,4,3,4,4,4,4
00565U,00565U,Complete,Passed,2,-76,1,1,2,2,4,4,4,4,4,4
00566S,00566S,Complete,Passed,2,-85,1,1,3,1,4,4,4,4,4,4
00567Q,00567Q,Complete,Passed,2,-91,1,2,2,3,1,2,3,3,4,1
00568O,00568O,Complete,Passed,2,-92,1,1,3,1,4,3,4,4,4,4
00571C,00571C,Complete,Passed,2,-86,1,1,4,4,4,4,4,4,4,4
00576P,00576P,Complete,Passed,2,-82,1,1,3,2,4,3,4,4,4,4
00578L,00578L,Complete,Reviewed,2,-85,1,1,4,1,4,,,,,
00579J,00579J,Complete,Passed,2,-81,1,1,4,2,3,3,4,4,4,4
00580B,00580B,Complete,Passed,2,-104,1,1,3,2,2,4,4,3,3,4
00585O,00585O,Complete,Passed,2,-82,2,1,3,3,2,2,4,4,3,4
00586M,00586M,Complete,Passed,2,-123,1,1,2,3,2,3,2,3,3,3
00589G,00589G,Complete,Passed,2,-122,1,1,4,1,4,4,4,4,4,4
00590V,00590V,Complete,Passed,2,-109,1,1,3,2,4,4,4,4,4,4
00591T,00591T,Complete,Passed,2,-84,1,1,3,2,2,2,3,3,3,4
00592R,00592R,Complete,Passed,2,-91,1,1,3,1,3,4,4,4,4,4
00594N,00594N,Complete,Passed,2,-93,1,1,3,2,4,2,3,4,4,4
00597H,00597H,Complete,Passed,2,-105,1,1,3,1,4,3,4,4,4,4
00599D,00599D,Complete,Passed,2,-76,1,1,3,3,2,3,3,3,2,4
00601T,00601T,Complete,Passed,2,-116,1,1,3,3,3,3,3,4,4,4
00602R,00602R,Complete,Passed,2,-81,1,1,3,2,4,4,3,3,4,4
00608F,00608F,Complete,Passed,2,-71,1,1,3,2,3,3,3,3,3,4
00610S,00610S,Complete,Passed,2,-103,1,1,3,1,3,3,3,3,3,4
00611Q,00611Q,Complete,Passed,2,-105,1,1,3,1,4,3,4,4,4,4
00612O,00612O,Complete,Passed,2,-107,1,1,4,2,4,4,4,4,4,4
00614K,00614K,Complete,Passed,2,-115,1,1,3,1,4,4,4,4,4,4
00615I,00615I,Complete,Passed,2,-77,1,1,4,1,4,4,4,4,4,4
00616G,00616G,Complete,Passed,2,-71,2,2,1,4,1,2,2,2,1,3
00619A,00619A,Complete,Passed,2,-92,1,1,2,2,3,3,3,3,4,4
00621N,00621N,Complete,Passed,2,-87,1,1,3,2,4,3,4,4,4,4
00624H,00624H,Complete,Passed,2,-86,1,1,4,1,4,4,4,4,4,4
00625F,00625F,Complete,Passed,2,-79,2,1,3,2,4,3,4,4,4,4
00626D,00626D,Complete,Passed,2,-76,1,1,4,2,4,4,4,4,4,4
00628W,00628W,Complete,Passed,2,-94,1,1,4,2,2,4,4,4,4,4
00630M,00630M,Complete,Passed,2,-81,1,1,3,2,4,3,3,3,4,4
00634E,00634E,Complete,Passed,2,-88,1,1,1,3,2,3,3,2,3,1
00635C,00635C,Complete,Passed,2,-109,1,1,4,1,3,3,4,4,4,4
00637V,00637V,Complete,Passed,2,-76,1,1,4,4,4,3,4,4,4,4
00638T,00638T,Complete,Passed,2,-90,1,1,3,3,2,3,3,3,3,4
00639R,00639R,Complete,Passed,2,-82,1,1,2,3,2,3,3,3,3,4
00642F,00642F,Complete,Passed,2,-126,1,1,4,1,4,4,4,4,3,4
00643D,00643D,Complete,Passed,2,-75,1,1,2,4,2,4,4,4,4,4
00644B,00644B,Complete,Passed,2,-90,1,2,2,3,3,3,3,3,3,4
00645W,00645W,Complete,Passed,2,-79,1,1,4,2,3,3,4,4,4,4
00647S,00647S,Complete,Passed,2,-90,1,1,2,3,4,3,4,4,4,4
00648Q,00648Q,Complete,Passed,2,-91,1,1,2,2,3,2,4,4,4,4
00650G,00650G,Complete,Passed,2,-86,1,1,3,2,4,4,3,4,4,4
00651E,00651E,Complete,Passed,2,-97,1,1,2,2,3,3,3,3,3,4
00653A,00653A,Complete,Passed,2,-78,1,1,3,1,4,3,3,4,3,4
00657P,00657P,Complete,Passed,2,-78,1,1,3,2,4,3,4,3,3,4
00658N,00658N,Complete,Passed,2,-82,1,1,2,2,3,2,4,4,4,4
00661B,00661B,Complete,Passed,2,-80,1,1,3,2,2,3,3,3,3,4
00662W,00662W,Complete,Passed,2,-77,1,1,2,3,3,3,3,4,4,4
00663U,00663U,Complete,Passed,2,-84,1,1,4,2,4,4,4,4,4,4
00664S,00664S,Complete,Passed,2,-78,1,1,4,1,4,4,4,4,4,4
00665Q,00665Q,Complete,Passed,2,-102,1,1,2,3,2,3,4,3,3,4
00666O,00666O,Complete,Passed,2,-86,1,1,3,2,3,3,4,3,3,4
00667M,00667M,Complete,Passed,2,-98,1,1,4,1,4,4,4,4,4,4
00669I,00669I,Complete,Passed,2,-89,2,1,2,2,3,3,4,2,3,4
00670A,00670A,Complete,Passed,2,-78,1,1,3,3,4,4,4,3,3,4
00672T,00672T,Complete,Passed,2,-75,1,2,3,1,4,2,2,3,3,4
00676L,00676L,Complete,Passed,2,-92,1,1,3,3,4,4,3,3,3,4
00677J,00677J,Complete,Passed,2,-82,1,1,4,4,3,4,4,3,3,4
00679F,00679F,Complete,Passed,2,-79,1,1,3,3,3,2,3,3,4,4
